ID,Stop name,Short name,Code,Authority name,Authority short name,Latitude,Longitude,Country name,Country code,Timezone,Service station
5464,Aire de service de Limours-Janvry,Aire de service de Limours-Janvry,opLMJ,Aire de service de Limours-Janvry,Aire de service de Limours-Janvry,48.636333,2.147311,France,FR,Europe/Paris,Yes
5465,Rastplatz San Bernadino,,SANBERN,Rastplatz San Bernadino,,46.463983,9.187436,Switzerland,CH,Europe/Zurich,Yes
5520,Area di Servizio Giove,,Area di Servizio Giove,Area di Servizio Giove,,42.499117,12.311743,Italy,IT,Europe/Rome,Yes
5607,Ceprano (uscita casello autostradale),,Ceprano,Ceprano (uscita casello autostradale),,41.541967,13.492304,Italy,IT,Europe/Rome,Yes
5608,Henin Beaumont Megabus Hotel,,Henin Beaumont,Henin Beaumont Megabus Hotel,,50.395758,2.975523,France,FR,Europe/Paris,Yes
5611,Aire de Béziers Mont Blanc Nord,,opBMBN,Aire de Béziers Mont Blanc Nord,,43.36002051,3.344388968,France,FR,Europe/Paris,Yes
5612,Area di Servizio Monte Baldo Nord (direzione MI),,Monte Baldo Nord,Area di Servizio Monte Baldo Nord (direzione MI),,45.411682,10.901077,Italy,IT,Europe/Rome,Yes
5623,Euro Rastpark Werneck,,Euro Rastpark Werneck,Euro Rastpark Werneck,,50.003793,10.117398,Germany,DE,Europe/Berlin,Yes
5638,Area di Servizio Monte Baldo Sud (direzione VE),,Monte Baldo Sud,Area di Servizio Monte Baldo Sud (direzione VE),,45.414264,10.869248,Italy,IT,Europe/Rome,Yes
5647,Rugby,,RUGBY,Rugby,,52.370453,-1.266152,Great Britain,GB,Europe/London,Yes
5672,Area di Servizio Metauro,,Area di Servizio Metauro,Area di Servizio Metauro,,43.7549,13.144941,Italy,IT,Europe/Rome,Yes
5673,Area di Servizio Esino,,Area di Servizio Esino,Area di Servizio Esino,,43.627631,13.335085,Italy,IT,Europe/Rome,Yes
5678,Raststätte Kemptthal,,RASTKEMPT,Raststätte Kemptthal,,47.448805,8.699983,Switzerland,CH,Europe/Zurich,Yes
5706,Raststätte Fuchsberg Süd,,RFS,Raststätte Fuchsberg Süd,,53.909282,11.756733,Germany,DE,Europe/Berlin,Yes
5707,Raststätte Fuchsberg Nord,,RFN,Raststätte Fuchsberg Nord,,53.910397,11.758524,Germany,DE,Europe/Berlin,Yes
5760,Aire de la Côte - Lac,,opACL,Aire de la Côte - Lac,,46.445199,6.297417,Switzerland,CH,Europe/Zurich,Yes
5763,RS Gütersloh Süd,,RGS,RS Gütersloh Süd,,51.865583,8.369948,Germany,DE,Europe/Berlin,Yes
5764,RS Gütersloh Nord,,RGN,RS Gütersloh Nord,,51.865959,8.369634,Germany,DE,Europe/Berlin,Yes
5801,T+R Buckowsee Ost,,T+R BSO,,,52.88323,13.70437,Germany,DE,Europe/Berlin,Yes
5802,Aire de service d'Ecot,Aire de service d'Ecot,opECO,Aire de service d'Ecot,Aire de service d'Ecot,47.441068,6.729204,France,FR,Europe/Paris,Yes
5804,Ury,,op URY,Ury,,48.338263,2.595927,France,FR,Europe/Paris,Yes
5806,Aire de service de Besancon-Marchaux,Aire de service de Besancon-Marchaux,opBSN-MAR,Aire de service de Besancon-Marchaux,Aire de service de Besancon-Marchaux,47.327024,6.125271,France,FR,Europe/Paris,Yes
5884,Service station_Gunzgen Nord,,SSGN,Service station_Gunzgen Nord,,47.31008,7.831351,Switzerland,CH,Europe/Zurich,Yes
5885,Service station_Gunzgen Sud,,SGS,Service station_Gunzgen Sud,,47.310169,7.845517,Switzerland,CH,Europe/Zurich,Yes
5988,Tallard Péage,,TPG,Tallard Péage,,44.441214,6.028401,France,FR,Europe/Paris,Yes
6017,Area di Servizio Aurelia Sud,,ADS Aurelia Sud,Area di Servizio Aurelia Sud,,44.287509,8.441894,Italy,IT,Europe/Rome,Yes
6027,Area di Servizio Calstorta Sud,,asRCS,Area di Servizio Calstorta Sud,,45.703029,12.604002,Italy,IT,Europe/Rome,Yes
6034,Aree di servizio DUINO,,ADS DUINO,Area di servizio DUINO,,45.777059,13.607862,Italy,IT,Europe/Rome,Yes
6078,Modena Nord (Casello Autostradale A1),Modena Nord A1,MDN,Modena Nord (Casello Autostradale A1),Modena Nord A1,44.655039,10.867678,Italy,IT,Europe/Rome,Yes
6080,Borghetto S. Spirito (Uscita Casello A10),Borghetto S. Spirito,BSSP,Borghetto S. Spirito (Uscita Casello A10),Borghetto S. Spirito,44.120373,8.225416,Italy,IT,Europe/Rome,Yes
6081,Aire de service de la Porte des Landes Ouest,Aire de service de la Porte des Landes Ouest,OP Landes O,Aire de service de la Porte des Landes Ouest,Aire de service de la Porte des Landes Ouest,44.362462,-0.851509,France,FR,Europe/Paris,Yes
6082,Area di Servizio Ceriale,Area di Servizio Ceriale,CERI,Area di Servizio Ceriale,Area di Servizio Ceriale,44.088167,8.206716,Italy,IT,Europe/Rome,Yes
6083,Raststätte Fränkische Schweiz / Pegnitz Ost,Raststätte Fränkische Schweiz / Pegnitz Ost,RS PE-O,Raststätte Fränkische Schweiz / Pegnitz Ost,Raststätte Fränkische Schweiz / Pegnitz Ost,49.749792,11.512734,Germany,DE,Europe/Berlin,Yes
6122,Raststätte Pfälzer Weinstraße West,,Raststätte,Raststätte Pfälzer Weinstraße West,,49.269663,8.152125,Germany,DE,Europe/Berlin,Yes
6139,Parking Villeneuve Loubet,,opVLP,Parking Villeneuve Loubet,,43.638185,7.133509,France,FR,Europe/Paris,Yes
6156,Area de servicio Oiartzun,Area de servicio Oiartzun,ADS Oiartzun,Area de servicio Oiartzun,Area de servicio Oiartzun,43.31884848,-1.848330739,Spain,ES,Europe/Madrid,Yes
6157,Aire de service de l'Océan Est,Aire de service de l'Océan Est,opAOE,Aire de service de l'Océan Est,Aire de service de l'Océan Est,43.936735,-1.090708,France,FR,Europe/Paris,Yes
6162,Aire Mondevert (Sud),Ams,Amnd,Aire Mondevert,Aire Mondevert,48.089112,-1.099127,France,FR,Europe/Paris,Yes
6176,Aire de service de l'Océan Ouest,Aire de service de l'Océan Ouest,opAOO,Aire de service de l'Océan Ouest,Aire de service de l'Océan Ouest,43.937136,-1.092533,France,FR,Europe/Paris,Yes
6191,Aire de service de Verdun Saint Nicolas Nord,Aire de service de Verdun Saint Nicolas Nord,opVER Nord,Aire de service de Verdun Saint Nicolas Nord,Aire de service de Verdun Saint Nicolas Nord,49.119973,5.509077,France,FR,Europe/Paris,Yes
6227,Area di Servizio Torre Alemanna,,Area di Servizio Torre Alemanna,Area di Servizio Torre Alemanna,,41.178565,15.632353,Italy,IT,Europe/Rome,Yes
6251,Area di Servizio Salbertrand Gran Bosco,,asSGB,Area di Servizio Salbertrand Gran Bosco,,45.071403,6.892182,Italy,IT,Europe/Rome,Yes
6259,Illertal Ost (Raststätte),Illertal Ost,Illertal Ost,Illertal Ost (Raststätte),Illertal Ost,48.12411132,10.11160064,Germany,DE,Europe/Berlin,Yes
6289,Area di Servizio La Macchia,,Area di Servizio La Macchia,Area di Servizio La Macchia,,41.686028,13.188218,Italy,IT,Europe/Rome,Yes
6290,Raststätte Lipperland Süd,,RS Lipperland S,Raststätte Lipperland Süd,,52.018087,8.634462,Germany,DE,Europe/Berlin,Yes
6291,Raststätte Lipperland Nord,,RS Lipperland N,Raststätte Lipperland Nord,,52.071593,8.664527,Germany,DE,Europe/Berlin,Yes
6298,Raststätte Bunde-rij Nord,,Raststätte Bunde-rij Nord,Raststätte Bunde-rij Nord,,53.178138,7.216304,Netherlands,NL,Europe/Amsterdam,Yes
6299,Raststätte Numde-riju Süd,,Raststätte Numde-riju Süd,Raststätte Numde-riju Süd,,53.17788,7.219059,Netherlands,NL,Europe/Amsterdam,Yes
6337,Aire de service de Varades - Pays de Loire (Nord),Aire de service de Varades - Pays de Loire (Nord),VPNops,Aire de service de Varades - Pays de Loire (Nord),Aire de service de Varades - Pays de Loire (Nord),47.419845,-1.014653,France,FR,Europe/Paris,Yes
6398,Aire de service de Besancon-Champoux,Aire de service de Besancon-Champoux,opBSN-CPX,Aire de service de Besancon-Champoux,Aire de service de Besancon-Champoux,47.329838,6.128511,France,FR,Europe/Paris,Yes
6399,Aire de service de Lyon Montluel,,op LYM,Aire de service de Lyon Montluel,,45.844583,5.070267,France,FR,Europe/Paris,Yes
6400,Aire de service de Lançon de Provence Ouest,Aire de service de Lançon de Provence Ouest,opLAN Ouest,Aire de service de Lançon de Provence Ouest,Aire de service de Lançon de Provence Ouest,43.589259,5.187213,France,FR,Europe/Paris,Yes
6401,Aire de service de Sorgues,,opSOR,Aire de service de Sorgues,,44.02361,4.889307,France,FR,Europe/Paris,Yes
6403,Aire de service de la Porte d'Alsace Sud,Aire de service de la Porte d'Alsace Sud,opPAL Sud,Aire de service de la Porte d'Alsace Sud,Aire de service de la Porte d'Alsace Sud,47.715545,7.137544,France,FR,Europe/Paris,Yes
6440,Aire de Spy (Nord),,RS Aire de Spy N,Aire de Spy,,50.495644,4.70207,Belgium,BE,Europe/Brussels,Yes
6508,Area di Servizio Caianello,,ADS Caianello,Area di Servizio Caianello,,41.30662,14.097285,Italy,IT,Europe/Rome,Yes
6509,Aire de Chavagne en Paillers,opBCPE,opBCP,Aire de Chavagne en Paillers Est,opBCP Est,46.87375999,-1.284150487,France,FR,Europe/Paris,Yes
6513,MAXI Autohof Kirchheim,,MAXI,MAXI Autohof Kirchheim,,49.554186,8.185823,Germany,DE,Europe/Berlin,Yes
6526,Raststätte Plose,,Raststätte Plose,Raststätte Plose,,46.730404,11.641894,Italy,IT,Europe/Rome,Yes
6586,Autogrill Weer,,Autogrill Weer,Autogrill Weer,,47.318944,11.65583,Austria,AT,Europe/Vienna,Yes
6590,Castel Madama Area di Servizio,Castel Madama AdS,CMDM,,,41.95649,12.857681,Italy,IT,Europe/Rome,Yes
6615,Area de Servicio Emporda Airea Este,,opEAE,Area de Servicio Emporda Airea Este,,42.172566,2.930784,Spain,ES,Europe/Madrid,Yes
6616,Aire de Service des Corbières Nord,,opCBN,Aire de Service des Corbières Nord,,43.178039,2.54482,France,FR,Europe/Paris,Yes
6636,Aire de Vidauban Sud,,opVDS,,,43.4147,6.453523,France,FR,Europe/Paris,Yes
6637,Aire de Vidauban Nord,,opVDN,,,43.41555,6.451235,France,FR,Europe/Paris,Yes
6852,Aire de Service de Châtellerault Antran,Aire de Service de Châtellerault Antran,opCHA,Aire de Service de Châtellerault Antran,Aire de Service de Châtellerault Antran,46.907177,0.521685,France,FR,Europe/Paris,Yes
6853,Aire de Service de Châtellerault Sud,Châtellerault Usseau,opCHU,Châtellerault Usseau,Châtellerault Usseau,46.905427,0.524105,France,FR,Europe/Paris,Yes
6859,Area di Servizio Bordighera Sud,,Area de Servizio Bordighera,,,43.79773166,7.690830237,Italy,IT,Europe/Rome,Yes
7036,Tilst v. Highway - going south,Tilst,TLT,,,56.178512,10.06595,Denmark,DK,Europe/Copenhagen,Yes
7055,Tilst v. Highway - going north,,TSN,,,56.175582,10.066137,Denmark,DK,Europe/Copenhagen,Yes
7060,Area di Servizio Castellaro Nord,,Area di Servizio Castellaro Nord,Area di Servizio Castellaro Nord,,43.860133,7.87688,Italy,IT,Europe/Rome,Yes
7084,Raststätte Hermsdorfer Kreuz Ost,,RHR,,,50.870958,11.85043,Germany,DE,Europe/Berlin,Yes
7097,Raststätte Hermsdorfer Kreuz West,,RHW,,,50.870829,11.848436,Germany,DE,Europe/Berlin,Yes
7105,Aire de Saint-Ambreuil Est,Aire de Saint-Ambreuil Est,opSAME,Aire de Saint-Ambreuil Est,Aire de Saint-Ambreuil Est,46.69308101,4.844414043,France,FR,Europe/Paris,Yes
7248,Munich service station (Hansastraße),Munich Hansastraße,M-Hansa,München Betriebshalt Hansastraße,München Hansastraße,48.12744441,11.53649018,Germany,DE,Europe/Berlin,Yes
7249,Düsseldorf service station MAN,Düsseldorf MAN,D-MAN,Düsseldorf service station MAN,Düsseldorf MAN,51.22393973,6.701633775,Germany,DE,Europe/Berlin,Yes
7250,Freiburg MAN service station,Freiburg MAN,FR-MAN,Freiburg MAN Betriebshalt,Freiburg MAN,48.039146,7.764963,Germany,DE,Europe/Berlin,Yes
7251,Freiburg VAG service station,Freiburg VAG,FR-VAG,Freiburg VAG service station,Freiburg VAG,47.993363,7.79672,Germany,DE,Europe/Berlin,Yes
7285,Aire de Sargés le Mans (Nord),,SLMN,,,48.056303,0.25405,France,FR,Europe/Paris,Yes
7305,Aire de Carcassonne-Arzens Sud,Aire de Carcassonne-Arzens Sud,opCCSS,Aire de Carcassonne-Arzens Sud,Aire de Carcassonne-Arzens Sud,43.21776084,2.220423985,France,FR,Europe/Paris,Yes
7325,Aire de service du Centre de la France Farges-Allichamps,Aire de service du Centre de la France Farges-Allichamps,opCFR Sud,Aire de service du Centre de la France Farges-Allichamps,Aire de service du Centre de la France Farges-Allichamps,46.752364,2.415976,France,FR,Europe/Paris,Yes
7330,Aire de service de Lançon de Provence Est,Aire de service de Lançon de Provence Est,opLAN Est,Aire de service de Lançon de Provence Est,Aire de service de Lançon de Provence Est,43.58952506,5.193558209,France,FR,Europe/Paris,Yes
7335,Aire de service de Limours-Briis-Sous-Forges,Aire de service de Limours-Briis-Sous-Forges,opLBSF,Aire de service de Limours-Briis-Sous-Forges,Aire de service de Limours-Briis-Sous-Forges,48.634221,2.148637,France,FR,Europe/Paris,Yes
7337,Aire de Bois-Mandé Est,Aire de Bois-Mandé Est,opBME,,,46.31353926,1.420054155,France,FR,Europe/Paris,Yes
7345,Aire de service de Dole-Audelange,Aire de service de Dole-Audelange,opDOL-AUD,Aire de service de Dole-Audelange,Aire de service de Dole-Audelange,47.147108,5.579834,France,FR,Europe/Paris,Yes
7359,Aire de la Côte - Jura,Aire de la Côte - Jura,opACJ,,,46.44485862,6.295022472,Switzerland,CH,Europe/Zurich,Yes
7371,Aire de service du Creux Moreau,Aire de service du Creux Moreau,opCRE,Aire de service du Creux Moreau,Aire de service du Creux Moreau,47.112425,4.712212,France,FR,Europe/Paris,Yes
7586,Raststätte Hildesheimer Börde,,RSHB,,,52.128028,10.050453,Germany,DE,Europe/Berlin,Yes
7817,Tankstelle Castelnuovo,,Castelnuovo,,,44.978087,8.893568,Italy,IT,Europe/Rome,Yes
7982,Freiburg Messe service station,Freiburg Messe service station,FR-MSS,,,48.018048,7.839281,Germany,DE,Europe/Berlin,Yes
8008,Infoteria Lillebælt Syd,Lillebælt Syd,Lillebælt Syd,Infoteria Lillebælt Syd,Lillebælt Syd,55.478138,9.87882,Denmark,DK,Europe/Copenhagen,Yes
8009,Infoteria Lillebælt Nord,Lillebælt Nord,ILN,Infoteria Lillebælt Nord,Lillebælt Nord,55.488146,9.84381,Denmark,DK,Europe/Copenhagen,Yes
8303,Kappel-Grafenhausen / Ettenheim (Autohof) SERVICE STATION,Autohof Kappel-Grafenhausen,Kappel-Grafenhausen,Autohof,Autohof Kappel-Grafenhausen,48.281308,7.777126,Germany,DE,Europe/Berlin,Yes
8386,Frankenwald Ost - Brückenrasthof,Frankenwald Ost,AH Frankenwald Ost,,,50.405092,11.775027,Germany,DE,Europe/Berlin,Yes
8387,Frankenwald West - Brückenrasthof,Frankenwald  West,AH Frankenwald West,,,50.404886,11.77143,Germany,DE,Europe/Berlin,Yes
8434,Tournus Péage,,opMAC,,,46.579069,4.901117,France,FR,Europe/Paris,Yes
8535,MAXI Autohof Gießen,Autohof Gießen,MAXI Autohof Gießen,,,50.529363,8.607686,Germany,DE,Europe/Berlin,Yes
8571,Péage Artenay,,opART,,,48.084271,1.85605,France,FR,Europe/Paris,Yes
8598,Relais de Bavois West (Jura),Relais de Bavois,opRS BV,Relais de Bavois,Relais de Bavois,46.673989,6.56965,Switzerland,CH,Europe/Zurich,Yes
8823,Quedlinburg Esso Tankstelle,,Quet,,,51.790029,11.169198,Germany,DE,Europe/Berlin,Yes
8946,opAlmodôverSul,,opAlmodôverSul,,,37.535797,-8.182854,Portugal,PT,Europe/Lisbon,Yes
8947,opAlmôdoverNorte,,opAlmôdoverNorte,,,37.536366,-8.184897,Portugal,PT,Europe/Lisbon,Yes
9057,Aire de service de la Fontaine Colette,Aire de service de la Fontaine Colette,opFOC,Aire de service de la Fontaine Colette,Aire de service de la Fontaine Colette,47.165941,0.632554,France,FR,Europe/Paris,Yes
9062,Aire de Service Bidart Est,,opBidartE,,,43.423256,-1.597485,France,FR,Europe/Paris,Yes
9305,T+R Buckowsee West,,T+R BSW,,,52.88319281,13.70210638,Germany,DE,Europe/Berlin,Yes
9332,Berlin Treptower Park Service Station (Rosengarten),Berlin Treptower Park Service Station,BPP-Rosengarten,Berlin Treptower Park Betriebshalt (Rosengarten),Berlin Treptower Park Betriebshalt,52.4908293,13.46722977,Germany,DE,Europe/Berlin,Yes
9427,Fort Stockton,,2FS,,,30.90552,-102.884784,USA,US,America/Chicago,Yes
9573,Neum - service stop,Neum,NEUM,Neum,Neum,42.923691,17.616321,Bosnia and Herzegovina,BA,Europe/Sarajevo,Yes
9594,Samerberg service station,,Samerberg,,,47.802692,12.17772,Germany,DE,Europe/Berlin,Yes
9621,Piacenza Nord (Service Stop),Piacenza Nord (area di servizio),PNServ,Piacenza Nord (area di servizio),Piacenza Nord (area di servizio),45.10374554,9.684614364,Italy,IT,Europe/Rome,Yes
9625,Aire de Service d'Ambrussum Nord,Aire d'Ambrussum Nord,opAMBN,Aire de Service d'Ambrussum Nord,Aire d'Ambrussum Nord,43.715965,4.135576,France,FR,Europe/Paris,Yes
9667,Aire de Service de Parcé Est,,opPAE,,,47.804448,-0.167063,France,FR,Europe/Paris,Yes
9668,Aire de Service de Parcé Ouest,,opPAO,,,47.807668,-0.166926,France,FR,Europe/Paris,Yes
9669,Wertheim Maxi Autohof,Wertheim Autohof,Wertheim Autohof,,,49.771335,9.57569,Germany,DE,Europe/Berlin,Yes
10581,Sölden Parking,Sölden Parking,Sölden-Parking,Sölden Parking,Sölden Parking,46.95700852,11.00788381,Austria,AT,Europe/Vienna,Yes
10713,Gonars Sud,,Gonars Sud,,,45.881505,13.259201,Italy,IT,Europe/Rome,Yes
10723,Vinding,Vinding,VND,Vinding,Vinding,55.675697,9.566559,Denmark,DK,Europe/Copenhagen,Yes
10817,Uscita Autostradale Frosinone,,UAF,,,41.620825,13.317151,Italy,IT,Europe/Rome,Yes
10847,Area Di Servizio Rio Colore Ovest,,ARCO,,,44.704058,7.762358,Italy,IT,Europe/Rome,Yes
11389,Estación de servicio - Cepsa La Safor I,,opCSF,,,39.039404,-0.226525,Spain,ES,Europe/Madrid,Yes
11484,Aire de Tignée Nord,,Aire de Tignée Nord,,,50.654437,5.710391,Belgium,BE,Europe/Brussels,Yes
11513,Area de Servicio - El Medol North,,opEMN,,,41.140651,1.34704,Spain,ES,Europe/Madrid,Yes
11514,Area de Servicio - El Medol Sur,,opEMS,,,41.1411,1.345857,Spain,ES,Europe/Madrid,Yes
11515,Area de Servicio -  L'Hospitalet Infant Sur,,opLHI,,,40.986269,0.894531,Spain,ES,Europe/Madrid,Yes
11710,Area de Servicio GALP - Do Caia,,opDOC,,,38.883595,-7.048813,Portugal,PT,Europe/Lisbon,Yes
11932,Aire de Service La Frontonnais Est,,opLFE,,,43.811281,1.362508,France,FR,Europe/Paris,Yes
12050,Area di Servizio Esso Cortine,,AdSCRT,,,45.512889,10.3542,Italy,IT,Europe/Rome,Yes
14198,Berlin Südkreuz Depot/Service Station,Berlin Südkreuz Depot,BSK-Depot,Depot of Bus-Art Prima-Klime (BusPartner),Depot of Bus-Art Prima-Klime (BusPartner),52.458808,13.394839,Germany,DE,Europe/Berlin,Yes
14538,Aire de Service des Portes d'Angers,,opPA,,,47.5006662,-0.490232517,France,FR,Europe/Paris,Yes
14669,Vorotynets Motel,Motel,VYM,,,56.05044609,45.86321533,Russia,RU,Europe/Moscow,Yes
14923,Kaltenkirchen Dodendorf Betriebshalt,Kaltenkirchen,KAD,Dodendorf,Kaltenkirchen,53.843998,9.936476,Germany,DE,Europe/Berlin,Yes
15299,Area di Servizio Poggibonsi EST,,ASPE,,,43.488578,11.169061,Italy,IT,Europe/Rome,Yes
